id,nombre,tipoComida,autor,descripcion
69,Lemon pie,,Rita,"La manteca, azucar y yema se hornea previamente\nLos otros ingredientes son para el relleno.\nLlevar al fuego las 4 yemas con el jugo de limón y la 1/2 taza de azúcar batiendo continuamente.\nLuego se le agregan los 2 sobres de gelatina previamente disueltos en agua. \nLuego se retira del fuego y se deja enfriar. \nAparte se baten las 5 claras a nieve con 10 cdas. de azúcar, se mezcla con preparación anterior. Se vuelca sobre masa fría y se lleva al congelador."
70,Maiskuchen sopa paraguaya,,,In einen Mixer geben und gut vermischen.\nDanach in eine Schüssel geben mit Maismehl und Backpulver.\nIn einem mit Backpapier oder gefetteten Backblech geben und bei 150 ° ca. 15-20 Min. backen
71,Maniskonfekt 1,,,1/2 Stunde backen.\nBevor es kalt wird in Stücke schneiden
72,Maniskonfekt 2    ,,Oma Christa,Zucker und Butter bräunen\nMit Sahne und  Kakao 1/4 Std. kochen\nVanillie und manis einmal kurz überkochen.
73,Marmorkuchen,,,"Butter cremig rühren\nMehl, Backpulver und Milch abwechselnd mit reinrühren\nEiweiss steifschlagen und unterheben\n2/3 v. Teig in gefettete Form tun\nKakao Zucker und Milch unter den restliches 1/3 Teig heben. Auf das Blech verteilen. Mit Babel marmorieren."
74,Medialunas,,Romi,"Preparación:\nAmasamos todos los ingredientes juntos hasta lograruna masa suave, sedosa y elastica. Dejamos descansar 10 min.\nEstiramos formando un rectángulo de 1/2 cm de espesor. Cortamos tiras fajas a lo largo y del ancho deseado. De las mismas cortamos triangulos. Armamos desde la base hacia la punta.\nDisponemos en lata asadera enmantecada y formamos la medialuna. Pintamos con huevo diluido en agua. Dejamos leudar nuevamente (tomar punto).\nCocinamos en horno moderado a 200° por 20 min."
75,Mousse de chocolate,,,"Preparación:\nBatí las yemas y los huevos, prepará un almibar de 120° con el azucar y el agua, y agregá en forma de hil al batido. Seguí batiend hasta que enfríe.\nDerretí los chocolates, dejá que enfria un poc e incorporá a la preparacion anterior.\nPor último, incorporá la crema batida a 3/4.\nPionono (para 44230 de la receta del mousse)"
76,Pionono del Mousse de chocolate,,,"Preparación:\nColocá en la batidora los huevos, el azúcar, la vainilla y la glicerina. Batí hasta obtener un punt letra fuerte y, por último, agregá en forma envolvente la Maizena y el cacao.\nPrepará una placa forrada en el fond con papel manteca y esparcí la preparación.\nHorneá a fueg fuerte por 7‘.\nPrepará aparte un lienz y colocá azucar por encima, retirá del horn la placa y volcala sobre el lienz azucarado, después de 5‘.\nDespegá los bordes, volvé a volcar sobre el lienz y luego, despegá el papel manteca, dejá enfriar y envolvé con la ayuda del lienzo, para reservar.\nGlasead de cacao"
77,Glaseado del Mousse de chocolate,,,"Preparación:\nPoner en un recipiente todos los ingredientes, dejar que hierva a fuego suave, retirar del fuego, colar por si quedó algun grumo, agregar la gelatina sin sabor hidratada y mezclar."
78,Mousse de maracuyá 1,,Lilo,
79,Mousse de maracuyá 2,,,Mezclar maracuyá con leche condensada\nBatir crema de leche
80,Muffins de arándanos,,,Espolvorear con azúcar impalpable lueg de enfriar.
81,Negerhäufchen,,,Häufchen auf ein Papier legen und trocknen lassen.
82,Nudelauflauf,,,"Für 6 Personen\nMakkaroni nach Packungsanleitung in reichlich Salzwwasser kochen. Kalt abschrecken und gut abtropfen lassen.\nZwiebeln schälen und fein würfeln. Schinken würfeln. Eine Zwiebel einfach und schnell schälen.\nDie Hälfte der Nudeln kreisförmig in eine Springform (22 cm Diam, eventuell fetten) legen.\nSchinken und Zwiebeln darauf verteilen. Dabei einen Rand von 2 cm. breite frei lassen. \nDen frei gelassenen Rand mit einigen der restlichen Nudeln auslegen, die übrigen kreisförmig daraufgeben.\nThymian waschen, trockenschütteln, Blättchen abzupfen und hacken.\nSojacreme, Gorgonzola und Eier mit dem Stabmixer glattmixen. \n1 Essl. Thymian beiseitelegen, den Rest unter die Käsemischung rühren. \nMischung mit Salz und Pfeffer würzen und über die Nudeln giessen. Im vorgeheizten Backofen, auf dem Backofenrost bei 175 ° insgesamt 45 Min. backen. Nach 30 min. Backzeit, die Torte mit Semmelbrösen bestreuen und die\nTorte vor dem aufschneiden 10 min ruhen lassen. Mit restlichem Thymian bestreut servieren. "
83,Nussecken,,,"Zutaten vom Teig zu einem Knetteig verarbeiten. 32x24 cm. gross ausrollen, auf ein Backblech legen und mit 2 Essl. Aprikosenkonfitüre bestreichen. \nZutaten von extra Masse einmal aufkochen und 200 gr. halb gemahlene halbgehackte Haselnusskerne unterrühren.\nDie abgekühlte Masse auf dem Teig verteilen und 20-30 Min. bei guter Mittelhitze backen. Das abgekühlte Gebäck in Dreiecke schneiden und beide spitze Ecken mit Schokoladenguss bestreichen."
84,Nussknusperle,,,
85,Nusskuchen,,,60-70 min. Bei 180 ° backen\nCreme im Wasserbad schaumig schlagen und beim abkühlen zwischendurch umrühren.\nMit Butter vermischen. \nFüllen und spritzen.
86,Pan de hamburguesa,,,
87,Pan de queso de licuadora,,,
88,Pao de queijo,,Romi,"Preparación:\nColocar la fecula en un bols grande.\nA parte, calentar la leche, el aceite y el cald knorr.\nCuando hierve, agregar a la fecula y revolver bien para evitar que se formen grumos.\nDejar enfriar. Agregar los huevos de a un alternand con el ques y amasarl bien despues de cada adicion.\nUntar las manos con aceite si fuera necesario.\nHacer bolitas de 2 cm de diametr y colocarlas sobre una asadera enmantecada.\nLlevar a horno medio (180°) precalentado.\nAsar hasta que esten doradas."
89,Pancakes,,Vaiti NZ,
90,Panqueques americanos,,Marian la que cocina.com,"10 – 12 panqueques medianos\nRevolver la leche y el jug de limón y dejar reposar.\nCernir, mezclar y reservar la harina, el bicarbonato, el polv de hornear, el azucar y la sal.\nJuntar la mexcla de leche con huev y manteca y mezclar (sin batir) con los ingredientes secos.\nCalentar una sartén, poner manteca aceite recien cuand este caliente. Lueg poner una cucharadas de la preparación."
91,Panqueques,,,
92,Papas rellenas,,CasanCrem,"Preparación:\nCocina las papas, cortalas a la mitad y ahuecalas.\nCon el restante, hacé un puré y agregale la panceta, las cebollas de verde picadas y el casancrem.\nMezcla y salpimentá.\nRellenalas, poneles un toque de ques parmesan y llevalas al horn hasta que estén gratinadas."
93,Pasta Wilton,,,Disolver gelatina en agua. Ponerlo en forma de lluvia.
94,Pastillaje,,,Diluir gelatina en agua- baño.\nPoner baño. en el merengue y batir\nSombrerito de costado
95,Pecan pie,,,(Para 2 pie)\n175-180 °. 30-45 min\nServir con chantilly o helado de crema.
96,Pepitas,,,
97,Pfannkuchen,,,
98,Pfefferkuchen,,Mutti,"(Muskatnuss, Nelken, Zimt und Anis Muskatnuss, Nelken, Zimt und Anis entsprechen dem Pfefferkuchengewürz)"
99,Pfefferkuchenteig,,Birgit,"(Zimt und Nelken = Gewürzpäckchen)\nHonig zusammen mit dem Zucker erhitzen (nicht kochen lassen, mehrmals umrühren damit der Zucker sich gut auflöst)\nAbkühlen lassen.\nMehl mit den gewürzen mischen, Butter in Flöckchen verteilen, Hirschhornsalz in den verschlagenen Eiern\nauflösen, eine weile stehen lassen bis sich Blasen formen. \nHonig-Zuckermasse auf das Mehl giessen, unterkneten, Eier dazugeben, kneten, zum Schluss die geriebenen Schalen. Alles zu einem glatten Teig verarbeiten, bis zum nächsten Tag stehen lassen."
100,Pop,,,
101,Pizza,,,"Im Blech nicht zu lange gehen lassen, mit wenig Tomatensauce."
102,"00°, 20 min.",,,Beim wärmen rest Sauce drauf.
103,Puddingkuchen,,,"Mehl, Zucker und Milch über Feuer schlagen bis es kocht. Abkühlen lassen.  (Mit Erdbeeren/ Aprikosen)\nSpringform einfetten, vor allem dem Rand.\nMittlere Schiene backen. 55 min- 350 °\nEr soll nach dem backen in der Mitte fallen."
104,Quarksahnetorte,,,"Eiweiss mit Wasser steif schlagen\nZucker dazutun, weiterschlagen\nEigelb unterziehen\nMit restlichen Zutaten zusammenrühren, 2 Male sieben und unter die Creme heben.\nDen Teig in einer nur am Boden gefetteten Springform bei guter Mittelhitze (175 °) 20 min backen.\nFüllung:\n1. Alles ausser Gelatine gut verrühren\n2. Gelatine mit etwas kaltem Wasser anrühren und im heissen Wasserbad ganz auflösen\n3. Die aufgelöste Gelatine in die Quarkcreme rühren. \n4. Sahne steifschlagen und unterheben.\n5. Den Den ausgekühlten Biskuitboden auf die Hälfte schneiden, creme auf die untere Hälfte der Springform füllen, mit oberer Hälfte zudecken und in den Kühlschrank stellen.\nMan kann die Torte auch gut in der Springform einfrieren und dann bei bedarf am Abend vorher herausnehmen und in den Kühlschrank stellen.\nVor dem essen mit Puderzucker bestäuben."
105,Rote Beete,,Lilo,
106,Rumkugeln,,,"Butter, Zucker und Ei erstmal gut verrühren"
107,"Russischer Zupfkuchen, Vaiti's super Käsetorte",,,Zutaten vom Teig in multiprocesadora\n44257 des Teiges als Boden und den Rest als Streusel obendrauf bzw. Rüberzupfen.\n60-70 min bei 160 ° backen.
108,Salsa Caruso,,Blanca,"Saltar en manteca la cebolla, champiñones y jamón\nAgregar el resto\n"
109,Salzstangen,,,
110,Saure Gurken,,,(Gurkengewürz)
111,Schokoladencreme,,,
112,Schokoladenkuchen,,Mutti, 
113,Schokoladenkuchen Guss,,Ruth Kunze,
114,Schokoladentorte,,,Die Füllung reicht um es ein Mal durchzuschneiden.
115,Schwarze Kekse,,,Mit Milch bestreichen und mit Zucker und Manis bestreuen.
116,Scones,,,"Estirar de 1cm. de alto, cortar y hornear 10 min. aprox."
117,Späzle (Nockern),,Oma,Eier schlagen. Etwas von dem Mehl dazu tun und dann die etwas aufgeweichte Butter dazu und weiter schlagen.\nMilch und Mehl abwechselnd reinmischen.\nNoch einmal gut schlagen damit die Masse einförmig wird.\nMit einem Löffel in kochendem Wasser abstechen.\n10 min kochen.\nButter rauf tun.
118,Spekulatius,,,
119,Spritzkekse,,,
120,Süss-saure Gurken,,Mutti,"3 Std. hinstellen\nSaft heiss machen und dann Gurken dazu.\n1-2 min kochen\nDazu kleine Zwiebel, Lorbeer, Senfkörner"
121,Tofscare,,Eliane,Teig backen nur das es bräunlich wird.\nMitte kochen und immer rühren bis es vom Topf zusammenfällt.\nSchokolade auflösen
122,Tomatenmark,,Eliane,
123,Torta de duraznos y crema,,Stephanie Rauhut,"20-25 porciones\nPreparación:\nTorta:\nPrecalentar el horno a 160°C.\nEnmantecar y poner un disco de papel manteca en el fondo de 3 torteras de 22 cm de diametro. Se puede hacer en una tortera de 26 cm de diametro, per la textura final no\nEntibiar la leche y mezclar con el jug de limón para que se corte. Reservar.\nBatir la manteca e irle incorporand el azucar lentamente.\nIncorporar los huevos y yemas de a uno, batiendo bien despues de cada adicion. Agregar la vainilla.\nTamizar en otro bowl la harina junto con el polv de hornear, bicarbonato y la sal. Incorporar al batido de manteca en tres tandas, alternand la leche cortada.\nDividir la masa entre los moldes usando una balanza tazas de medir.\nSi hornean la torta en dos tres moldes, no va a llevar mas de 25-30 minutos, pero si la hornean en uno solo va a demorar aprox 55 minutos. Pinchar con un palito, y si\nDejar enfriar completamente dentro del molde. Si no se va a armar la torta en seguida, se puede envolver en film y refrigerar. Tambien puede congelarse por hasta 3 meses.\nArmado:\nMezclar la crema de leche con el azucar en un bowl. Guardar en la heladera por al menos 2 horas para que el azucar se derrita.\nPelar los duraznos, descartar los carozos y cortar en fetas finas. Reservar.\nBatir la crema de leche hasta que esté firme, pero ojo de no pasarse.\nColocar una masa sobre una fuente, con la base mirand hacia arriba. Repetir la crema y el rest de los duraznos. Tapar con la ultima capa de masa, con la base mirando hacia arriba (esto\nBañar la torta con el resto de la crema batida.\nRomper los merengues groseramente y pegar un poco a los lados de la torta. Armar una linda montala de merengues rotos en la cima.\nRefrigerar la torta antes de servir para que se asiente."
124,Torta de manzana,,,Mezclar a mano y agregar yemas.\nPoner 3/4 partes en asadera. Cortar manzanas en cubitos con azúcar y un chorrito de agua. Llevar al fuego. Dejar enfriar.\nPoner la compota sobre la masa. Encima espolvorear con canela. Arriba de eso el merengue de las claras con azúcar y espolvorear con el resto de la masa. 
125,Torta helada de frutilla,,,"Preparación:\nProcesar las frutillas y colocarlas en una cacerola junt con el azucar.\nCocinar hasta que se rompa el hervor y dejar enfriar (se cocina el azucar con el pure de frutas para que n se cristalice en el freezer).\nMezclar la crema bien batida con el puré de frutillas.\nTapizar la base de un molde desmontable de 26 cm de diametr con un disc de pionono.\nColocar la mitad del mousse sobre el pionono.\nSobre el mousse, colocar el disc de merengue.\nTerminar con el mousse y llevar al freezer hasta que esté firme. Retirar del freezer 20 minutos antes de servir y desmoldar."
126,Tortas fritas con sabores,,,A los dulces agregar ralladura de una naranja y 1 cda. de canela.\nA los salados 1/2 cebolla chica rallada y 3 cdas de ques rallado. \nUnir todo. Dejar leudar. Al estirar untar la masa con la grasa blanda y volver a amasar. 
127,Tortillas,,,"Mehl, Salz und Backpulver sieben.\nButter in kleine Stücke schneiden, dann mit dem Messer reinschneiden bis es ein Krümelteig ist.\nMit dem Wasser ein Essl. nach den anderen dazugeben bis es ein geschmeichiger Teig ist.\nDen Teig in 12 Stücke teilen und es zu Bällen verarbeiten. Ausrollen.\nAuf Teflon Pfanne aufheizen und bei mittlerer Hitze backen, wie Pflinzen.\nNicht knusprig."
128,Trufas,,,
129,Windbeutel,,,"Für 12 Stück\nButter, Wasser und Salz aufkochen lassen, Mehl auf einmal darübergiessen, immer rühren bis eine Kugel\ndraus wird und dann vom Feuer wegnehmen.\nLeicht mit dem Löffel kneten bis die Masse abgekühlt ist. \nDie Eier einzeln dazugeben und nach jedem Ei gut vermischen.\nAuf einem nicht befetteten Blech 10x1/2 cm lange Eclairs formen \nIm heissen Ofen backen bis sie goldgelb und aufgegangen sind.\nFüllen."
130,Yo-yo,,,
131,Zimtsterne,,,
132,Zimtrollen,,,"Teig in Eisschale stellen, abkühlen lassen und immer wieder Luft rauslassen.\nTeig ausrollen, mit Butter bestrichen, mit Zucker und Zimt bestreuen und zusammenrollen.\nWenn sie aus dem Ofen kommen mit Puderzucker bestreichen."
133,Zitronenpie,,,"Teig verbacken 5min 230° bis es etwas braun ist. Kalt werden lassen.\nZucker, Maizena und Salz mit Holzlöffel mischen. Bei halber Hitze 1 Min. kochen.\nEigelb langsam reinschlagen.\nMit dem Wasser 2 Min. langsam kochen.\nRestliche Zutaten zusammen rühren und in den abgkühlten Teig geben.\n4 St. im Eisschrank kaltstellen.\nEischnee machen und 15 min bei 180° backen."
134,Zitronen-Sahne-Torte,,,"Biscuit bei starker Hitze backen (15 min)\nWenn die Masse dicklich wird, geschlagene Sahne unterheben."
135,Zitronenspeise,,,"Wasser, 1 T. Zucker, Maizena, 3 Eier und Wasser und 200 gr. Zitronensaft kochen\nDen rest nicht kochen"
